15	7	U	-1.1118470286267973E7	93
emissionprobs	8	2	H3K36me3	1	0.008590410841847591
emissionprobs	8	3	H3K4me1	0	0.09313240618418779
emissionprobs	8	3	H3K4me1	1	0.9068675938158123
emissionprobs	8	4	H3K4me3	0	0.9999999996766742
emissionprobs	8	4	H3K4me3	1	3.23325759943859E-10
emissionprobs	8	5	H3K9me3	0	0.9969651834967846
emissionprobs	8	5	H3K9me3	1	0.003034816503215297
emissionprobs	8	6	H4K20me3	0	0.9973377581118319
emissionprobs	8	6	H4K20me3	1	0.0026622418881681272
emissionprobs	9	0	H3K27ac	0	0.9992513741294067
emissionprobs	9	0	H3K27ac	1	7.486258705933858E-4
emissionprobs	9	1	H3K27me3	0	0.4068758290301725
emissionprobs	9	1	H3K27me3	1	0.5931241709698275
emissionprobs	9	2	H3K36me3	0	0.9984561881914673
emissionprobs	9	2	H3K36me3	1	0.0015438118085327561
emissionprobs	9	3	H3K4me1	0	0.999819480808756
emissionprobs	9	3	H3K4me1	1	1.8051919124395947E-4
emissionprobs	9	4	H3K4me3	0	0.9997756166326739
emissionprobs	9	4	H3K4me3	1	2.2438336732607614E-4
emissionprobs	9	5	H3K9me3	0	0.9849106585586729
emissionprobs	9	5	H3K9me3	1	0.01508934144132717
emissionprobs	9	6	H4K20me3	0	0.9972864992172843
emissionprobs	9	6	H4K20me3	1	0.0027135007827156533
emissionprobs	10	0	H3K27ac	0	0.9996272912449679
emissionprobs	10	0	H3K27ac	1	3.72708755032111E-4
emissionprobs	10	1	H3K27me3	0	0.18990189975777422
emissionprobs	10	1	H3K27me3	1	0.8100981002422257
emissionprobs	10	2	H3K36me3	0	0.9959227666953184
emissionprobs	10	2	H3K36me3	1	0.004077233304681607
emissionprobs	10	3	H3K4me1	0	0.022823001365628825
emissionprobs	10	3	H3K4me1	1	0.9771769986343712
emissionprobs	10	4	H3K4me3	0	0.9999999999999999
emissionprobs	10	4	H3K4me3	1	1.30877027765304E-16
emissionprobs	10	5	H3K9me3	0	0.9920916839744018
emissionprobs	10	5	H3K9me3	1	0.007908316025598192
emissionprobs	10	6	H4K20me3	0	0.9956871250477933
emissionprobs	10	6	H4K20me3	1	0.004312874952206745
emissionprobs	11	0	H3K27ac	0	0.9929495023002931
emissionprobs	11	0	H3K27ac	1	0.00705049769970697
emissionprobs	11	1	H3K27me3	0	0.9998970087513739
emissionprobs	11	1	H3K27me3	1	1.0299124862605272E-4
emissionprobs	11	2	H3K36me3	0	0.22177604540557688
emissionprobs	11	2	H3K36me3	1	0.7782239545944231
emissionprobs	11	3	H3K4me1	0	0.9850415639332342
emissionprobs	11	3	H3K4me1	1	0.014958436066765888
emissionprobs	11	4	H3K4me3	0	0.9999846092014659
emissionprobs	11	4	H3K4me3	1	1.5390798534029994E-5
emissionprobs	11	5	H3K9me3	0	0.9946131344138439
emissionprobs	11	5	H3K9me3	1	0.005386865586156113
emissionprobs	11	6	H4K20me3	0	0.9997897129911893
emissionprobs	11	6	H4K20me3	1	2.102870088106993E-4
emissionprobs	12	0	H3K27ac	0	0.7185086376952752
emissionprobs	12	0	H3K27ac	1	0.2814913623047249
emissionprobs	12	1	H3K27me3	0	0.9606724132649576
emissionprobs	12	1	H3K27me3	1	0.03932758673504242
emissionprobs	12	2	H3K36me3	0	0.7733344061519863
emissionprobs	12	2	H3K36me3	1	0.22666559384801369
emissionprobs	12	3	H3K4me1	0	0.5795465702076186
emissionprobs	12	3	H3K4me1	1	0.42045342979238143
emissionprobs	12	4	H3K4me3	0	0.8518799495362214
emissionprobs	12	4	H3K4me3	1	0.14812005046377855
emissionprobs	12	5	H3K9me3	0	0.10635944480161412
emissionprobs	12	5	H3K9me3	1	0.8936405551983858
emissionprobs	12	6	H4K20me3	0	0.3673202976766873
emissionprobs	12	6	H4K20me3	1	0.6326797023233127
emissionprobs	13	0	H3K27ac	0	0.9935922338950549
emissionprobs	13	0	H3K27ac	1	0.006407766104945106
emissionprobs	13	1	H3K27me3	0	0.9992138695823682
emissionprobs	13	1	H3K27me3	1	7.861304176317301E-4
emissionprobs	13	2	H3K36me3	0	0.9971093662685011
emissionprobs	13	2	H3K36me3	1	0.0028906337314989236
emissionprobs	13	3	H3K4me1	0	0.9986764452604688
emissionprobs	13	3	H3K4me1	1	0.0013235547395312203
emissionprobs	13	4	H3K4me3	0	0.9980464794454271
emissionprobs	13	4	H3K4me3	1	0.001953520554572956
emissionprobs	13	5	H3K9me3	0	0.00222098241258284
emissionprobs	13	5	H3K9me3	1	0.9977790175874172
emissionprobs	13	6	H4K20me3	0	0.12498219491404526
emissionprobs	13	6	H4K20me3	1	0.8750178050859547
emissionprobs	14	0	H3K27ac	0	0.9994626464540562
emissionprobs	14	0	H3K27ac	1	5.373535459437149E-4
emissionprobs	14	1	H3K27me3	0	0.9981904519123156
emissionprobs	14	1	H3K27me3	1	0.0018095480876843214
emissionprobs	14	2	H3K36me3	0	0.9991321077376142
emissionprobs	14	2	H3K36me3	1	8.678922623857839E-4
emissionprobs	14	3	H3K4me1	0	0.9979666422117154
emissionprobs	14	3	H3K4me1	1	0.002033357788284528
emissionprobs	14	4	H3K4me3	0	0.9998233064536635
emissionprobs	14	4	H3K4me3	1	1.7669354633658736E-4
emissionprobs	14	5	H3K9me3	0	0.2960871282709825
emissionprobs	14	5	H3K9me3	1	0.7039128717290174
emissionprobs	14	6	H4K20me3	0	0.9404684689510344
emissionprobs	14	6	H4K20me3	1	0.05953153104896549
emissionprobs	15	0	H3K27ac	0	0.9998453510453208
emissionprobs	15	0	H3K27ac	1	1.5464895467922328E-4
emissionprobs	15	1	H3K27me3	0	0.9985396777956844
emissionprobs	15	1	H3K27me3	1	0.0014603222043155656
emissionprobs	15	2	H3K36me3	0	0.9988661776428104
emissionprobs	15	2	H3K36me3	1	0.0011338223571896455
emissionprobs	15	3	H3K4me1	0	0.9983955591189624
emissionprobs	15	3	H3K4me1	1	0.0016044408810375827
emissionprobs	15	4	H3K4me3	0	0.9999813673372638
emissionprobs	15	4	H3K4me3	1	1.8632662736208886E-5
emissionprobs	15	5	H3K9me3	0	0.9979936032293252
emissionprobs	15	5	H3K9me3	1	0.0020063967706747806
emissionprobs	15	6	H4K20me3	0	0.9995859241182865
emissionprobs	15	6	H4K20me3	1	4.140758817135088E-4
