sample	sampleName	total	chrx	chr16	fold	rpm	rpm.chrx	rpm.chr16	rpm.spikein	asyn.spikein	sf	meansf.25	ID	cells	time	group	batch	batch1
IAA_240_aid06_2425099	IAA_240_aid06_2425099.counts	480197710	1728656	221710	7.79692391	0.002082476	3599.883889	461.7056587	821.6940476	713.0880132	1.152303828	1.19287640225	2425099	aid06	240	IAA	aid2	aid2
IAA_240_aid23_2425091	IAA_240_aid23_2425091.counts	348169996	1562301	160660	9.724268642	0.00287216	4487.178729	461.4412553	910.1591281	713.0880132	1.276362961	1.19287640225	2425091	aid23	240	IAA	aid2	aid2
IAA_240_aid23_2425107	IAA_240_aid23_2425107.counts	342956347	1380950	242165	5.702516879	0.002915823	4026.605753	706.1102736	1108.770849	713.0880132	1.554886393	1.19287640225	2425107	aid23	240	IAA	aid2	aid2
asyn_aid06_2425062	asyn_aid06_2425062.counts	334607367	750207	79754	9.406512526	0.002988577	2242.051652	238.3509984	462.5561636	713.0880132	0.648666301	1	2425062	aid06	asyn	DMSO	aid2	aid2
asyn_aid06_2425108	asyn_aid06_2425108.counts	284063129	885059	156295	5.662746729	0.003520344	3115.712353	550.212203	861.7834383	713.0880132	1.208523243	1	2425108	aid06	asyn	DMSO	aid2	aid2
asyn_aid23_2425069	asyn_aid23_2425069.counts	479423782	1250094	146477	8.534404719	0.002085837	2607.492675	305.5271881	566.2764556	713.0880132	0.794118601	1	2425069	aid23	asyn	DMSO	aid2	aid2
asyn_aid23_2425115	asyn_aid23_2425115.counts	368028338	1210911	232855	5.200279144	0.002717182	3290.265653	632.7094301	961.7359954	713.0880132	1.348691855	1	2425115	aid23	asyn	DMSO	aid2	aid2
dmso_mit_aid06_2425063	dmso_mit_aid06_2425063.counts	80021952	1044120	156307	6.679931161	0.012496571	13047.91965	1953.301514	3258.093479	713.0880132	4.568992072	4	2425063	aid06	mit	DMSO	aid2	aid2
dmso_mit_aid06_2425109	dmso_mit_aid06_2425109.counts	359157067	5938813	1384918	4.288205511	0.002784297	16535.42014	3856.023248	5509.565262	713.0880132	7.726346762	4	2425109	aid06	mit	DMSO	aid2	aid2
dmso_mit_aid23_2425070	dmso_mit_aid23_2425070.counts	290053304	3544892	416765	8.505733447	0.003447642	12221.51912	1436.856586	2659.008497	713.0880132	3.728864387	4	2425070	aid23	mit	DMSO	aid2	aid2
dmso_mit_aid23_2425116	dmso_mit_aid23_2425116.counts	294057699	4789971	1350543	3.546700105	0.003400693	16289.22152	4592.782317	6221.704469	713.0880132	8.725016202	4	2425116	aid23	mit	DMSO	aid2	aid2
